tick,year,revenue,ebit,capx,debt,mktcap
AMZN,1998,609.996,-104.388,28.333,348.14,16950.11375
AMZN,1999,1639.839,-597.683,287.055,1466.338,25942.410375
AMZN,2000,2761.983,-663.569,134.758,2127.464,5557.99125
AMZN,2001,3122.433,-230.672,50.321,2156.133,4038.21876
AMZN,2002,3932.936,105.697,39.163,2245.691,7327.54434
AMZN,2003,5263.699,270.735,45.963,1925.373,21224.48748
AMZN,2004,6921.124,431.378,89.133,1847.397,18146.10019
AMZN,2005,8490.0,465.0,204.0,1521.0,19614.4
AMZN,2006,10711.0,409.0,216.0,1267.0,16336.44
AMZN,2007,14835.0,655.0,224.0,1344.0,38538.24
AMZN,2008,19166.0,789.0,333.0,533.0,21947.84
AMZN,2009,24509.0,1183.0,373.0,252.0,59726.88000000001
AMZN,2010,34204.0,1407.0,979.0,641.0,81180.0
AMZN,2011,48077.0,867.0,1811.0,1415.0,78760.50455
AMZN,2012,61093.0,672.0,3785.0,3830.0,113894.98
AMZN,2013,74452.0,691.0,3444.0,5181.0,183044.61459
AMZN,2014,88988.0,130.0,4893.0,12489.0,144121.57904384
AMZN,2015,107006.0,2176.0,4589.0,14183.0,318344.19471
AMZN,2016,135987.0,4066.0,6737.0,15213.0,357687.99
AMZN,2017,177866.0,3954.0,11955.0,37926.0,563534.8333838399
AMZN,2018,232887.0,12242.0,13427.0,39787.0,734416.75426093
AMZN,2019,280522.0,14177.0,16861.0,63205.0,920224.3050599999
